Unique ID;Player;Best Pos;Position;Age;Nation of Birth;Club;Division;Appearances;Minutes;Rating;Playing Time;Transfer Value;Wage;Expires;Height;Preferred Foot;Left Foot;Right Foot;Poss Lost/90;Poss Won/90;Ps C/90;Ps A/90;Pr passes/90;OP-KP/90;Tcon/90;Ch C/90;Pres A/90;Pres C/90;Blk/90;Clr/90;Int/90;Tck/90;Dist/90;Drb/90;Sprints/90;OP-Crs A/90;xSv %;Sv %;CCC;OP-Crs C/90;Hdrs L/90;Hdrs W/90;Cln/90;xA/90;xG/90;xG-OP;NP-xG/90;Fouls Made;Fouls Against;Yel;Red cards;Aer A/90;K Hdrs/90;Crs A/90;Cr C/90;Con/90;Goals per 90 minutes;Saves/90;Tgls/90;MLG;Off;Asts/90;KP/90;xGP/90;Shots From Outside The Box Per 90 minutes;ShT/90;Shot/90;K Tck/90;Shts Blckd/90
2000270527;Adrián Sanmartín;AM (R);M (L), AM (RLC);18;Spain;Cartagena;Second Division;2;130;7.20;Scouting Required;£35K - £350K;£230 - £320 p/w;30/6/2025;171 cm;Right-Footed;Weak;Very Strong;12.5;6.2;23.5;28.4;2.8;2.1;0.7;0.0;13.8;2.8;0.7;1.4;1.4;4.2;12.9;3.5;22.2;4.2;0;0;0;0.0;8.3;1.4;0.0;0.1;0.4;1.39;0.4;2;1;0;0;9.7;0.0;4.2;0.0;0.0;1.4;0;2.1;0;0;0.0;2.1;0.0;0.0;2.8;2.8;0.0;0.0
2000272037;Rubén Richarte;AM (C);AM (LC);17;Spain;San Fernando;Spanish Federation 1B;0;0;-;Scouting Required;£180K - £650K;£75 - £100 p/w;30/6/2026;170 cm;Left-Footed;Very Strong;Reasonable;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19290886;Cássio;DM;DM, M (C);25;Brazil;Tarazona;Spanish Federation 1A;6 (8);604;6.66;Surplus to Requirements;£40K;£240 - £290 p/w;30/6/2024;185 cm;Right-Footed Only;Weak;Very Strong;8.5;11.9;38.3;43.7;4.0;0.4;1.8;0.0;11.3;1.9;0.9;1.3;1.2;2.1;13.4;0.6;8.8;0.1;0;0;0;0.1;2.2;3.6;0.0;0.1;0.1;-0.41;0.1;5;2;1;0;5.8;0.6;0.1;0.1;0.0;0.0;0;0.4;0;0;0.0;0.4;0.0;0.3;0.3;0.6;0.3;0.3
2000272695;Ángel Cantero;GK;GK;18;Spain;Albacete;Second Division;1 (10);0;-;Scouting Required;£1K - £9K;£160 - £250 p/w;30/6/2024;180 cm;Right-Footed;Weak;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000272700;Guillermo Martín;DM;DM, M (C);18;Spain;Albacete;Second Division;0;0;-;Scouting Required;Unknown;£160 - £250 p/w;30/6/2024;186 cm;Unknown Footedness;Very Weak;Very Weak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20503500;Diyaeddine Abzi;D (L);D/WB (L);25;Morocco;Leganés;Second Division;8 (10);953;6.76;Scouting Required;£45K - £475K;£1.4K - £1.9K p/w;30/6/2025;183 cm;Left-Footed;Very Strong;Weak;12.7;9.1;40.3;46.1;6.3;0.8;1.2;0.0;8.8;2.0;0.6;1.1;2.8;2.4;13.6;1.3;16.5;2.1;0;0;0;0.6;1.9;2.2;0.0;0.1;0.0;0.82;0.0;6;7;1;0;4.1;0.5;2.2;0.6;0.0;0.1;0;1.5;0;2;0.1;0.8;0.0;0.1;0.2;0.5;0.1;0.1
2000272703;Álvaro Moreno;D (C);D (C);18;Spain;Albacete;Second Division;0;0;-;Scouting Required;Unknown;£170 - £260 p/w;30/6/2024;179 cm;Unknown Footedness;Very Weak;Very Weak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000272705;Daniel Leal;AM (R);AM (R);18;Spain;Albacete;Second Division;0;0;-;Scouting Required;Unknown;£180 - £270 p/w;30/6/2024;172 cm;Unknown Footedness;Very Weak;Very Weak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000272710;Alberto Morientes;ST (C);ST (C);18;Spain;Albacete;Second Division;0;0;-;Scouting Required;Unknown;£190 - £270 p/w;30/6/2024;174 cm;Unknown Footedness;Very Weak;Very Weak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000273331;Viti;ST (C);ST (C);20;Spain;Tenerife;Second Division;0;0;-;Scouting Required;£0;£200 - £280 p/w;30/6/2025;195 cm;Right-Footed;Weak;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000273543;Aarón;ST (C);ST (C);19;Spain;Mirandés;Second Division;0 (1);18;6.40;Scouting Required;£9K - £95K;£925 - £1.4K p/w;30/6/2025;184 cm;Right-Footed;Reasonable;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000274880;Sander Ballero;M (C);M (C);20;Spain;Sabadell;Spanish Federation 1A;0 (1);6;-;Scouting Required;£24K - £230K;£430 - £600 p/w;30/6/2025;182 cm;Right-Footed;Fairly Strong;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000276996;Alejandro Mestanza;M (C);DM, M (C);19;Spain;A. Madrid B;Spanish Federation 1B;2 (1);163;6.67;Scouting Required;£20K - £210K;£190 - £280 p/w;30/6/2027;177 cm;Right-Footed;Reasonable;Very Strong;8.8;5.0;42.0;48.6;2.8;0.0;2.2;0.0;8.8;3.3;1.1;2.2;0.6;2.8;12.4;0.0;11.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;-0.08;0.0;4;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0;1.7;0;0;0.0;0.0;0.0;1.1;0.0;1.1;0.6;1.1
2000277119;Manu Figueroa;GK;GK;20;Spain;Arenteiro;Spanish Federation 1A;1 (3);220;5.87;Scouting Required;£0;N/A;30/6/2026;176 cm;Right-Footed;Reasonable;Very Strong;9.4;1.2;9.0;18.0;0.0;0.0;2.9;0.0;0.0;0.0;0.0;8.6;0.0;0.0;3.6;0.0;0.0;0.0;94;22;0;0.0;0.0;0.0;0.4;0.0;0.0;0;0.0;0;1;0;0;0.0;0.0;0.0;0.0;2.9;0.0;0;0.8;0;0;0.0;0.0;-1.8;0.0;0.0;0.0;0.0;0.0
2000277495;Pere;ST (C);ST (C);20;Spain;Leonesa;Spanish Federation 1A;0 (5);157;6.68;Scouting Required;£0;£180 - £270 p/w;30/6/2025;185 cm;Right-Footed;Weak;Very Strong;27.5;0.0;21.2;22.9;1.1;1.1;0.0;0.0;4.6;2.9;0.0;0.6;0.0;1.7;10.1;0.0;4.0;1.1;0;0;0;0.0;8.0;1.1;0.0;0.0;0.5;0.09;0.5;1;3;0;0;9.2;0.6;1.1;0.0;0.0;0.6;0;1.7;0;0;0.0;1.1;0.0;1.1;1.7;4.6;0.0;0.0
28126239;Óscar Tarensi;D (L);D/WB (L);21;Spain;Vigo B;Spanish Federation 1A;0;0;-;Scouting Required;£30K - £325K;£120 - £170 p/w;30/6/2025;178 cm;Left-Footed Only;Very Strong;Weak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000277723;Jesús Belza;WB (R);D/WB/M/AM (R);20;Spain;Tenerife;Second Division;0 (1);19;6.80;Scouting Required;£1K - £10K;£725 - £1K p/w;30/6/2024;174 cm;Right-Footed;Weak;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;-0.03;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000278199;Daniel Borrasca;ST (C);ST (C);21;Spain;Huelva;Spanish Federation 1B;4 (4);302;6.28;Scouting Required;£3.5K - £35K;£170 - £260 p/w;30/6/2025;181 cm;Left-Footed;Very Strong;Strong;4.2;2.7;13.7;15.5;0.3;0.0;1.2;0.0;4.2;1.8;0.3;0.9;0.3;0.0;11.3;0.3;3.9;0.0;0;0;0;0.0;8.9;1.5;0.0;0.0;0.0;-0.01;0.0;0;1;0;0;10.4;0.0;0.0;0.0;0.0;0.0;0;0.3;0;0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.3
29156874;Jon Ceberio;M (C);M (C);27;Spain;Intercity;Spanish Federation 1B;1 (4);128;6.90;Scouting Required;£0;£1.1K - £1.5K p/w;30/6/2024;186 cm;Right-Footed;Weak;Very Strong;14.1;7.7;61.9;71.0;9.8;2.8;2.1;0.0;11.2;2.1;0.0;2.1;0.7;2.1;13.6;0.0;8.4;1.4;0;0;0;0.7;3.5;0.0;0.0;0.0;0.0;-0.03;0.0;0;1;0;0;3.5;0.7;1.4;0.7;0.0;0.0;0;0.7;0;0;0.0;2.8;0.0;0.7;0.0;0.7;0.0;0.0
2000278641;Óscar Jiménez;ST (C);ST (C);22;Spain;Córdoba;Spanish Federation 1B;0 (1);17;6.60;Surplus to Requirements;£200K - £700K;£650 - £775 p/w;30/6/2025;187 cm;Right-Footed;Reasonable;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000278754;Ethan Laínez;GK;GK;19;Spain;Teruel;Spanish Federation 1A;2 (1);202;6.57;Scouting Required;£45K - £425K;£350 - £525 p/w;30/6/2025;193 cm;Right-Footed;Reasonable;Very Strong;8.0;1.8;13.4;16.0;0.9;0.0;1.3;0.0;0.0;0.0;0.0;10.2;0.0;0.0;3.5;0.0;0.0;0.0;85;66;0;0.0;0.0;0.0;0.4;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;1.3;0.0;2;2.2;0;0;0.0;0.0;-0.2;0.0;0.0;0.0;0.0;0.0
2000278807;Nico Rodríguez;GK;GK;21;Spain;Teruel;Spanish Federation 1A;6 (2);650;6.41;Scouting Required;£1.5K - £12K;£240 - £330 p/w;30/6/2024;188 cm;Right-Footed;Fairly Strong;Very Strong;7.6;1.5;10.0;19.4;0.3;0.0;1.9;0.0;0.0;0.0;0.0;9.4;0.0;0.0;6.0;0.0;0.0;0.0;88;68;0;0.0;0.0;0.0;0.1;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;1.9;0.0;3;1.2;0;0;0.0;0.0;-0.4;0.0;0.0;0.0;0.0;0.0
2000278922;Hugo Solozábal;M (C);M (C);21;Spain;Leganés;Second Division;1 (3);73;6.90;Scouting Required;£55K - £550K;£1.1K - £1.6K p/w;30/6/2025;176 cm;Right-Footed;Reasonable;Very Strong;8.6;2.5;69.0;75.2;3.7;2.5;1.2;0.0;8.6;0.0;0.0;0.0;1.2;1.2;0.0;0.0;3.7;0.0;0;0;0;0.0;1.2;0.0;0.0;0.1;0.0;0;0.0;0;1;0;0;1.2;0.0;0.0;0.0;0.0;0.0;0;4.9;0;0;1.2;2.5;0.0;0.0;0.0;0.0;0.0;0.0
43096729;Stefan Simić;D (R);D (C);29;Czechia;Eibar;Second Division;4 (6);443;6.67;Squad Player;£5K - £14K;£2K - £2.4K p/w;30/6/2024;189 cm;Right-Footed;Weak;Very Strong;3.0;11.4;47.9;54.0;3.3;0.4;1.6;0.0;2.6;0.6;0.8;1.0;1.8;1.0;11.4;0.2;5.3;0.4;0;0;0;0.0;3.0;4.7;0.0;0.0;0.0;0;0.0;1;1;0;0;7.7;0.6;0.4;0.0;0.0;0.0;0;1.2;0;0;0.0;0.4;0.0;0.0;0.0;0.0;0.4;0.6
43124602;Antonino La Gumina;ST (C);AM (R), ST (C);28;Italy;Mirandés;Second Division;5 (6);532;6.67;Scouting Required;£110K - £1.1M;£10.75K - £16K p/w;30/6/2026;182 cm;Right-Footed;Reasonable;Very Strong;19.6;1.4;19.3;23.3;1.2;1.0;1.2;0.0;6.6;1.7;0.0;0.2;0.8;0.5;11.6;1.2;7.6;1.0;0;0;0;0.2;7.8;2.9;0.0;0.1;0.6;-2.37;0.6;13;11;0;0;10.7;0.2;1.0;0.2;0.0;0.2;0;0.7;0;3;0.0;1.0;0.0;1.5;1.4;4.4;0.0;0.0
2000279023;Iñigo García;AM (L);D/AM (L);19;Pays Basque;Alcorcón;Second Division;0;0;-;Scouting Required;£8K - £75K;£1.3K - £1.7K p/w;30/6/2026;173 cm;Left-Footed Only;Very Strong;Weak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000279024;Nico Fernández;ST (C);ST (C);20;Spain;Alcorcón;Second Division;0;0;-;Scouting Required;£0 - £50K;£1.3K - £1.7K p/w;30/6/2025;188 cm;Right-Footed;Reasonable;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000279028;Héctor Criado;D (C);D (RC);19;Spain;Alcorcón;Second Division;0;0;-;Scouting Required;£22K - £230K;£850 - £1.3K p/w;30/6/2026;193 cm;Right-Footed Only;Weak;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000279045;Jaime Garrido;ST (C);ST (C);21;Spain;Alcorcón;Second Division;0;0;-;Scouting Required;£0;£875 - £1.3K p/w;30/6/2025;183 cm;Right-Footed;Reasonable;Very Strong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43458613;Pablo Moreno;AM (R);AM (RLC), ST (C);22;Spain;F.C. Andorra;Second Division;0 (5);101;6.53;Scouting Required;£325K - £1.2M;£1.5K - £2.2K p/w;30/6/2025;178 cm;Right-Footed;Weak;Very Strong;18.7;0.0;21.4;23.2;0.0;0.0;0.9;0.0;6.2;2.7;0.0;0.0;0.0;2.7;8.1;0.0;6.2;0.0;0;0;0;0.0;8.9;1.8;0.0;0.2;0.0;0;0.0;0;2;0;0;10.7;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43465847;Alessio Salvato;GK;GK;22;Italy;Castellón;Spanish Federation 1B;7 (1);665;6.81;Scouting Required;£12K - £120K;£675 - £975 p/w;30/6/2025;181 cm;Right-Footed Only;Very Weak;Very Strong;2.0;7.0;31.0;32.8;0.0;0.0;1.5;0.0;0.0;0.0;0.0;1.5;0.1;0.0;6.1;0.0;0.0;0.0;80;62;0;0.0;0.0;0.0;0.5;0.0;0.0;0;0.0;0;1;0;0;0.0;0.0;0.0;0.0;1.5;0.0;2;1.6;0;0;0.0;0.0;-0.3;0.0;0.0;0.0;0.0;0.0
2000280495;Dani Ruiz;D (C);D (C);19;Spain;Burgos;Second Division;1;90;6.70;Scouting Required;£2K - £18K;£1K - £1.5K p/w;30/6/2025;188 cm;Left-Footed;Very Strong;Reasonable;4.0;8.0;42.0;48.0;5.0;0.0;1.0;0.0;6.0;3.0;0.0;2.0;0.0;4.0;11.0;0.0;5.0;0.0;0;0;0;0.0;1.0;7.0;0.0;0.1;0.0;0;0.0;2;0;0;0;8.0;2.0;0.0;0.0;0.0;0.0;0;2.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
